"Name","Web","Email","quality","result","free","role"
"School Togs Nailsea Ltd","https://www.schooltogsnailsea.co.uk/","info@schooltogsnailsea.co.uk","bad","invalid","no","yes"
"School Uniform Direct","https://www.schooluniformdirect.org.uk/","info@schooluniformdirect.org.uk","good","ok","no","yes"
"School Zone Ltd","https://www.schoolzoneonline.co.uk/","enquiries@school-zone.co.uk","risky","catch_all","no","yes"
"Schoolblazer Ltd","https://www.schoolblazer.com/","info@schoolblazer.com","good","ok","no","yes"
"Schoolwear Solutions","https://www.schoolwearsolutions.com/","cust.service@schoolwearsolutions.com","risky","catch_all","no","no"
"SDL Group Ltd","https://www.sdlgroupltd.com/","sales@sdlgroupltd.com","good","ok","no","yes"
"Smart Clothing (Bolton) Ltd","https://www.smartschoolwear.co.uk/","info@smartschoolwear.co.uk","good","ok","no","yes"
"Smarty Schoolwear","https://www.smartyschoolwear.co.uk/","customerservice@smartyschoolwear.co.uk","risky","catch_all","no","yes"
"Stabilo Ltd","https://www.stabilo.com/uk/","info@stabilo.com","good","ok","no","yes"
"Stamptastic","https://stamptastic.co.uk/","info@stamptastic.co.uk","good","ok","no","yes"
"Stitch Design Ltd","https://www.stitchdesign.co.uk/","enquiries@stitchdesign.co.uk","risky","catch_all","no","yes"
"Stitch-a-Logo","https://www.stitch-a-logo.co.uk/","info@stitch-a-logo.co.uk","risky","catch_all","no","yes"
"The School Uniform Specialists","http://www.theschooluniformspecialists.com","info@theschooluniformspecialists.com","good","ok","no","yes"
"The Schoolwear Centre Margate","http://www.schoolwearcentre.net/","workwear@schoolwearcentre.net","risky","catch_all","no","no"
"The Uniform Shop","https://www.theuniformshopwebsite.co.uk/","sales@theuniformshopwebsite.co.uk","good","ok","no","yes"
"Total Clothing Ltd","https://totalclothing.co.uk/","customerservices@totalclothing.co.uk","good","ok","no","yes"
"Uniformity Clothing Ltd","https://uniformityclothing.co.uk/","info@uniformityclothing.co.uk","risky","catch_all","no","yes"
"W. D. Coe Ltd","https://www.coes.co.uk/","help@coes.co.uk","good","ok","no","yes"
