"Email","quality","result","free","role","datID"
"headmaster@addeystanhope.co.uk","bad","invalid","no","yes","55318"
"headmaster@addingtonvalley.org","bad","invalid","no","yes","70192"
"headmaster@adm.eastern-mat.co.uk","bad","invalid","no","yes","62902"
"headmaster@admin.bryngates.wigan.sch.uk","bad","invalid","no","yes","61602"
"headmaster@admin.cansfield.wigan.sch.uk","bad","invalid","no","yes","61668"
"headmaster@admin.deanery.wigan.sch.uk","bad","invalid","no","yes","61672"
"headmaster@admin.gildedhollins.wigan.sch.uk","bad","invalid","no","yes","61615"
"headmaster@admin.golborneallsaints.wigan.sch.uk","bad","invalid","no","yes","61657"
"headmaster@admin.hindleygreensacredheart.wigan.sch.uk","bad","invalid","no","yes","58337"
"headmaster@admin.hindsford.wigan.sch.uk","bad","invalid","no","yes","61619"
"headmaster@admin.landgate.wigan.sch.uk","bad","invalid","no","yes","60800"
"headmaster@admin.leighceprimary.wigan.sch.uk","bad","invalid","no","yes","59562"
"headmaster@admin.leighsaintthomas.wigan.sch.uk","bad","invalid","no","yes","61622"
"headmaster@admin.lowtonwest.wigan.sch.uk","bad","invalid","no","yes","61612"
"headmaster@admin.meadowbank.wigan.sch.uk","bad","invalid","no","yes","61609"
"headmaster@admin.millbrook.wigan.sch.uk","bad","invalid","no","yes","61617"
"headmaster@admin.newbridge.wigan.sch.uk","bad","invalid","no","yes","61098"
"headmaster@admin.newfold.wigan.sch.uk","bad","invalid","no","yes","61601"
"headmaster@admin.parklee.wigan.sch.uk","bad","invalid","no","yes","61610"
"headmaster@admin.saintaidans.wigan.sch.uk","bad","invalid","no","yes","61628"
"headmaster@admin.saintambrosebarlow.wigan.sch.uk","bad","invalid","no","yes","61662"
"headmaster@admin.saintdavids.wigan.sch.uk","bad","invalid","no","yes","66165"
"headmaster@admin.saintgeorges.wigan.sch.uk","bad","invalid","no","yes","59354"
"headmaster@admin.saintjohns.wigan.sch.uk","bad","invalid","no","yes","61624"
"headmaster@admin.saintmarks.wigan.sch.uk","bad","invalid","no","yes","59330"
"headmaster@admin.saintpetershigh.wigan.sch.uk","bad","invalid","no","yes","61674"
"headmaster@admin.saintrichards.wigan.sch.uk","bad","invalid","no","yes","61651"
"headmaster@admin.shevingtonvale.wigan.sch.uk","bad","invalid","no","yes","61613"
"headmaster@admin.standishchs.wigan.sch.uk","bad","invalid","no","yes","57893"
"headmaster@admin.westfield.wigan.sch.uk","bad","invalid","no","yes","60909"
"headmaster@admin.westleighsaintpauls.wigan.sch.uk","bad","invalid","no","yes","61637"
"headmaster@admin.winstanley.wigan.sch.uk","bad","invalid","no","yes","61600"
"headmaster@admin.worsleymesnes.wigan.sch.uk","bad","invalid","no","yes","61598"
"headmaster@adoservices.co.uk","bad","invalid","no","yes","75251"
"headmaster@adwick.outwood.com","bad","invalid","no","yes","62442"
"headmaster@ahavastorah.org.uk","bad","invalid","no","yes","73723"
"headmaster@ahps.bfet.uk","bad","invalid","no","yes","70870"
"headmaster@ahs.bucks.sch.uk","bad","invalid","no","yes","65092"
"headmaster@aimhigh.co.uk","bad","invalid","no","yes","74196"
"headmaster@aimnorthlondon.org.uk","bad","invalid","no","yes","69938"
"headmaster@ainderby.dalesmat.org","bad","invalid","no","yes","59177"
"headmaster@airedaleacademy.com","bad","invalid","no","yes","64906"
"headmaster@ajs.hants.sch.uk","bad","invalid","no","yes","72060"
"headmaster@akeleywoodschool.co.uk","bad","invalid","no","yes","64423"
"headmaster@akroydon.trinitymat.org","bad","invalid","no","yes","57814"
"headmaster@akslytham.com","good","ok","no","yes","75813"
"headmaster@alanbrookeacademy.org","bad","invalid","no","yes","70470"
"headmaster@alaqsaschool.co.uk","bad","invalid","no","yes","60936"
"headmaster@alburhan.org.uk","bad","invalid","no","yes","60719"
"headmaster@alcestergs.com","bad","invalid","no","yes","64915"
"headmaster@alchemyschools.co.uk","bad","invalid","no","yes","66325"
"headmaster@aldborough.net","bad","invalid","no","yes","65175"
"headmaster@aldercar-inf.derbyshire.sch.uk","bad","invalid","no","yes","66140"
"headmaster@alderwood.hants.sch.uk","bad","invalid","no","yes","71872"
"headmaster@aldgroup.co.uk","bad","invalid","no","yes","62991"
"headmaster@aldington.kent.sch.uk","bad","invalid","no","yes","72959"
"headmaster@aldridgeschool.org","bad","invalid","no","yes","68029"
"headmaster@alfalahschool.org.uk","bad","invalid","no","yes","59029"
"headmaster@alfredsalter.com","bad","invalid","no","yes","55363"
"headmaster@alhudaprimary.co.uk","bad","invalid","no","yes","70899"
"headmaster@allenbournmiddle.org","bad","invalid","no","yes","77174"
"headmaster@allenby.ealing.sch.uk","bad","invalid","no","yes","56636"
"headmaster@allsaints.bwmat.org","bad","invalid","no","yes","58015"
"headmaster@allsaints.lewisham.sch.uk","bad","invalid","no","yes","55297"
"headmaster@all-saints.oxon.sch.uk","bad","invalid","no","yes","78129"
"headmaster@allsaints.ycway.uk","bad","invalid","no","yes","77487"
"headmaster@allsaints.york.sch.uk","bad","invalid","no","yes","75517"
"headmaster@allsaints-academy.co.uk","bad","invalid","no","yes","69680"
"headmaster@allsaintsbenhilton.org.uk","bad","invalid","no","yes","57232"
"headmaster@allsaintscarshalton.sutton.sch.uk","bad","invalid","no","yes","62835"
"headmaster@allsaintscc.org.uk","bad","invalid","no","yes","55156"
"headmaster@allsaints-fleet.hants.sch.uk","bad","invalid","no","yes","71978"
"headmaster@allsaints-harwich.essex.sch.uk","bad","invalid","no","yes","69345"
"headmaster@allsaintsmat.school","bad","invalid","no","yes","78732"
"headmaster@allsaintsn20.barnetmail.net","bad","invalid","no","yes","55683"
"headmaster@allsaints-pri.hants.sch.uk","bad","invalid","no","yes","71949"
"headmaster@allsaints-pri.stockport.sch.uk","bad","invalid","no","yes","61437"
"headmaster@allsaintsprimaryschoolmaldon.co.uk","bad","invalid","no","yes","69296"
"headmaster@alma-primary.org.uk","bad","invalid","no","yes","65713"
"headmaster@almumin.bradford.sch.uk","bad","invalid","no","yes","60831"
"headmaster@alne.outwood.com","bad","invalid","no","yes","70555"
"headmaster@al-noorprimary.co.uk","bad","invalid","no","yes","60783"
"headmaster@alns.co.uk","bad","invalid","no","yes","74294"
"headmaster@alpha.harrow.sch.uk","good","ok","no","yes","56837"
"headmaster@alptrust.co.uk","bad","invalid","no","yes","58367"
"headmaster@alresford.essex.sch.uk","bad","invalid","no","yes","69175"
"headmaster@alsagersbank.org.uk","bad","invalid","no","yes","74895"
"headmaster@alternativecentreofeducation.org","bad","invalid","no","yes","79274"
"headmaster@alumnismat.org","bad","invalid","no","yes","63539"
"headmaster@alumwelljunior.co.uk","bad","invalid","no","yes","59716"
"headmaster@alwyn.org.uk","bad","invalid","no","yes","64045"
"headmaster@amberleyprimary.co.uk","bad","invalid","no","yes","62378"
"headmaster@ambitoeducation.co.uk","bad","invalid","no","yes","61372"
"headmaster@amblefirst.northumberland.sch.uk","bad","invalid","no","yes","77737"
"headmaster@ampfield.hants.sch.uk","bad","invalid","no","yes","71895"
"headmaster@andaras.org","bad","invalid","no","yes","59363"
"headmaster@andover-pri.hants.sch.uk","bad","invalid","no","yes","71896"
"headmaster@anglesey.bham.sch.uk","bad","invalid","no","yes","58784"
"headmaster@angrambank.sheffield.sch.uk","bad","invalid","no","yes","61803"
"headmaster@ankermoor.org","bad","invalid","no","yes","57660"
"headmaster@ankervalley.org","bad","invalid","no","yes","74746"
"headmaster@annbernadt.southwark.sch.uk","bad","invalid","no","yes","55330"
"headmaster@ansford.net","bad","invalid","no","yes","65087"
"headmaster@anson.brent.sch.uk","bad","invalid","no","yes","55743"
"headmaster@anstonhillcrest.org","bad","invalid","no","yes","66127"
"headmaster@anton-inf.hants.sch.uk","bad","invalid","no","yes","71718"
"headmaster@applegarth.n-yorks.sch.uk","bad","invalid","no","yes","76360"
"headmaster@appletreetc.co.uk","bad","invalid","no","yes","58993"
"headmaster@apsafederation.com","bad","invalid","no","yes","55130"
"headmaster@ar.starmat.uk","bad","invalid","no","yes","65734"
"headmaster@archbishopwake.dsat.org.uk","bad","invalid","no","yes","76597"
"headmaster@arco.academy","bad","invalid","no","yes","70084"
"headmaster@argylehouseschool.co.uk","bad","invalid","no","yes","63698"
"headmaster@arkacton.org","bad","invalid","no","yes","66005"
"headmaster@arkalexandra.org","bad","invalid","no","yes","71545"
"headmaster@arkallsaintsacademy.org","bad","invalid","no","yes","71467"
"headmaster@arkayrtonprimary.org","bad","invalid","no","yes","71464"
"headmaster@arkblake.org","bad","invalid","no","yes","70153"
"headmaster@arkbolingbrokeacademy.org","bad","invalid","no","yes","68268"
"headmaster@arkboulton.org","bad","invalid","no","yes","73704"
"headmaster@arkbrunelprimary.org","bad","invalid","no","yes","71411"
"headmaster@arkbyron.org","bad","invalid","no","yes","77467"
"headmaster@arkconwayprimary.org","bad","invalid","no","yes","65518"
"headmaster@arkelvinacademy.org","bad","invalid","no","yes","74577"
"headmaster@arkfranklinprimary.org","bad","invalid","no","yes","71554"
"headmaster@arkgreenwich.org","bad","invalid","no","yes","68251"
"headmaster@arkjohnarcher.org","bad","invalid","no","yes","65914"
"headmaster@arkjohnkeatsacademy.org","bad","invalid","no","yes","71540"
"headmaster@arkkingsacademy.org","bad","invalid","no","yes","67721"
"headmaster@arklittleridgeprimary.org","bad","invalid","no","yes","74580"
"headmaster@arkpioneer.org","bad","invalid","no","yes","67547"
"headmaster@arkprioryprimary.org","bad","invalid","no","yes","71453"
"headmaster@arkputneyacademy.org","bad","invalid","no","yes","70612"
"headmaster@arksoane.org","bad","invalid","no","yes","70182"
"headmaster@arkstalbans.org","bad","invalid","no","yes","62448"
"headmaster@arkswiftprimary.org","bad","invalid","no","yes","71544"
"headmaster@arkvictoria.org","bad","invalid","no","yes","77171"
"headmaster@arnesby.embracemat.org","bad","invalid","no","yes","66233"
"headmaster@arnoldhouse.co.uk","good","ok","no","yes","55576"
"headmaster@arthurmellows.org","bad","invalid","no","yes","64610"
"headmaster@arts.ac.uk","bad","invalid","no","yes","60675"
"headmaster@arundelcourt.com","bad","invalid","no","yes","59200"
"headmaster@asa.hslt.academy","bad","invalid","no","yes","61284"
"headmaster@asap.org.uk","bad","invalid","no","yes","62538"
"headmaster@ascotroadcfs.org.uk","bad","invalid","no","yes","74527"
"headmaster@ashbournecollege.co.uk","bad","invalid","no","yes","55182"
"headmaster@ashbourneprimary.derbyshire.sch.uk","bad","invalid","no","yes","67089"
"headmaster@ashbrookschool.net","bad","invalid","no","yes","69807"
"headmaster@ashbyhilltop.leics.sch.uk","bad","invalid","no","yes","70719"
"headmaster@ashbyschool.org.uk","bad","invalid","no","yes","74755"
"headmaster@ashcroft.theharmonytrust.org","bad","invalid","no","yes","63580"
"headmaster@ashfield.leicester.sch.uk","bad","invalid","no","yes","68135"
"headmaster@ashgreenprimary.co.uk","bad","invalid","no","yes","79237"
"headmaster@ashhillacademy.org.uk","bad","invalid","no","yes","65290"
"headmaster@ashlands.school","bad","invalid","no","yes","61865"
"headmaster@ashmead.lewisham.sch.uk","bad","invalid","no","yes","55294"
"headmaster@ashmoleacademy.org","bad","invalid","no","yes","64648"
"headmaster@ashmoleprimaryschool.org.uk","bad","invalid","no","yes","55198"
"headmaster@ashtonkeynes.wilts.sch.uk","bad","invalid","no","yes","56317"
"headmaster@ashwoodprimary.org","bad","invalid","no","yes","74394"
"headmaster@askham-bryan.ac.uk","bad","invalid","no","yes","58165"
"headmaster@asna.walsall.sch.uk","bad","invalid","no","yes","76901"
"headmaster@asp.hslt.academy","bad","invalid","no","yes","74592"
"headmaster@aspirationhouse.co.uk","bad","invalid","no","yes","70433"
"headmaster@aspireap.org.uk","bad","invalid","no","yes","57745"
"headmaster@aspire-kent.org.uk","bad","invalid","no","yes","73011"
"headmaster@astonfence.org","bad","invalid","no","yes","61746"
"headmaster@aston-rowant.oxon.sch.uk","bad","invalid","no","yes","78075"
"headmaster@astreaatlas.org","bad","invalid","no","yes","62841"
"headmaster@astreacastle.org","bad","invalid","no","yes","59452"
"headmaster@astreadearne.org","bad","invalid","no","yes","66156"
"headmaster@astreadenabymain.org","bad","invalid","no","yes","57690"
"headmaster@astreaedenthorpehall.org","bad","invalid","no","yes","79181"
"headmaster@astreahartleybrook.org","bad","invalid","no","yes","59451"
"headmaster@astreahatfield.org","bad","invalid","no","yes","59450"
"headmaster@astrealowermeadow.org","bad","invalid","no","yes","79184"
"headmaster@astreanetherwood.org","bad","invalid","no","yes","57975"
"headmaster@astreasheffield.org","bad","invalid","no","yes","65626"
"headmaster@astreastivo.org","bad","invalid","no","yes","65498"
"headmaster@astrum-mat.org","bad","invalid","no","yes","62772"
"headmaster@atamacademy.com","bad","invalid","no","yes","79153"
"headmaster@ateresby.co.uk","bad","invalid","no","yes","74838"
"headmaster@athelney.lewisham.sch.uk","bad","invalid","no","yes","55258"
"headmaster@athelstan.sheffield.sch.uk","bad","invalid","no","yes","61802"
"headmaster@athelstaneford.elcschool.org.uk","bad","invalid","no","yes","81604"
"headmaster@atkinson.house","bad","invalid","no","yes","58887"
"headmaster@atlantic-aspirations.org","bad","invalid","no","yes","62983"
"headmaster@ats.lambeth.sch.uk","bad","invalid","no","yes","65621"
"headmaster@attrust.org.uk","bad","invalid","no","yes","59466"
"headmaster@aub.ac.uk","bad","invalid","no","yes","59139"
"headmaster@aucklandcollege.com","bad","invalid","no","yes","58798"
"headmaster@audenshawschool.org.uk","bad","invalid","no","yes","64617"
"headmaster@aughtoneyc.org","bad","invalid","no","yes","61738"
"headmaster@auroraacademies.org","bad","invalid","no","yes","70175"
"headmaster@autismable.com","bad","invalid","no","yes","70317"
"headmaster@autism-anglia.org.uk","bad","invalid","no","yes","69409"
"headmaster@avenuepreprep.co.uk","bad","invalid","no","yes","60933"
"headmaster@avocetacademy.org","bad","invalid","no","yes","66149"
"headmaster@avonbourneacademy.org.uk","bad","invalid","no","yes","69881"
"headmaster@avonvalleyacademy.org.uk","bad","invalid","no","yes","79251"
"headmaster@avpa.school","bad","invalid","no","yes","67548"
"headmaster@axbridgefirstschool.co.uk","bad","invalid","no","yes","70688"
"headmaster@ayeshasiddiqa.org.uk","bad","invalid","no","yes","61083"
"headmaster@aylesbury.ac.uk","bad","invalid","no","yes","58171"
"headmaster@aylwardacademy.org","bad","invalid","no","yes","62542"
"headmaster@aysgarthschool.co.uk","bad","invalid","no","yes","76577"
"headmaster@babington.leicester.sch.uk","bad","invalid","no","yes","79463"
"headmaster@baca-uk.org.uk","bad","invalid","no","yes","62550"
"headmaster@bacoll.ac.uk","bad","invalid","no","yes","58197"
"headmaster@bad.kent.sch.uk","bad","invalid","no","yes","73100"
"headmaster@badsleyprimary.org","bad","invalid","no","yes","61739"
"headmaster@bagintonfields.coventry.sch.uk","bad","invalid","no","yes","57552"
"headmaster@bahracademy.co.uk","bad","invalid","no","yes","64602"
"headmaster@balernochs.edin.sch.uk","bad","invalid","no","yes","81785"
"headmaster@balgreen.edin.sch.uk","bad","invalid","no","yes","81681"
"headmaster@balksbury-jun.hants.sch.uk","bad","invalid","no","yes","71619"
"headmaster@balliolschool.co.uk","bad","invalid","no","yes","63890"
"headmaster@balmorallearningtrust.co.uk","bad","invalid","no","yes","68328"
"headmaster@balsall-common.solihull.sch.uk","bad","invalid","no","yes","68494"
"headmaster@bamfordacademy.co.uk","bad","invalid","no","yes","67644"
"headmaster@bancrofts.org","bad","invalid","no","yes","57160"
"headmaster@bankslane-inf.stockport.sch.uk","bad","invalid","no","yes","61392"
"headmaster@banksroad.liverpool.sch.uk","bad","invalid","no","yes","59863"
"headmaster@bannermanroadbristol.org","bad","invalid","no","yes","70925"
"headmaster@barclayprimary.net","bad","invalid","no","yes","70621"
"headmaster@bardney.lincs.sch.uk","bad","invalid","no","yes","76118"
"headmaster@barfordprimary.co.uk","bad","invalid","no","yes","57318"
"headmaster@barkstonsyston.lincs.sch.uk","bad","invalid","no","yes","76146"
"headmaster@barleycroft.leicester.sch.uk","bad","invalid","no","yes","75897"
"headmaster@barlowhaddleseyfederation.co.uk","bad","invalid","no","yes","76502"
"headmaster@barncroftprimary.hants.sch.uk","bad","invalid","no","yes","62497"
"headmaster@barnsley-academy.org","bad","invalid","no","yes","58642"
"headmaster@barnston.wirral.sch.uk","bad","invalid","no","yes","60109"
"headmaster@barrbeaconschool.co.uk","bad","invalid","no","yes","65129"
"headmaster@barrowby.lincs.sch.uk","bad","invalid","no","yes","76063"
"headmaster@barrowcliff.n-yorks.sch.uk","bad","invalid","no","yes","76366"
"headmaster@barrowhedges.com","bad","invalid","no","yes","65706"
"headmaster@barrowhills.org","bad","invalid","no","yes","55888"
"headmaster@barton.ac.uk","bad","invalid","no","yes","58223"
"headmaster@barton.dalesmat.org","bad","invalid","no","yes","59169"
"headmaster@bartonpri.iow.sch.uk","bad","invalid","no","yes","72871"
"headmaster@basildonacademies.org.uk","bad","invalid","no","yes","62417"
"headmaster@bassetts-farm.devon.sch.uk","bad","invalid","no","yes","67288"
"headmaster@baston.lincs.sch.uk","bad","invalid","no","yes","76064"
"headmaster@bathcollege.ac.uk","bad","invalid","no","yes","56585"
"headmaster@bathnes.gov.uk","bad","invalid","no","yes","60978"
"headmaster@battlingbrook.uk","bad","invalid","no","yes","71483"
"headmaster@baytulilm.org.uk","bad","invalid","no","yes","74757"
"headmaster@bbs.calderdale.sch.uk","bad","invalid","no","yes","75525"
"headmaster@bchs.co.uk","bad","invalid","no","yes","67477"
"headmaster@bcot.ac.uk","bad","invalid","no","yes","58214"
"headmaster@bcschool.co.uk","good","ok","no","yes","68791"
"headmaster@bdcs.org.uk","bad","invalid","no","yes","55609"
"headmaster@bea-cit.co.uk","bad","invalid","no","yes","78953"
"headmaster@beacon-ce-primary.devon.sch.uk","bad","invalid","no","yes","68652"
"headmaster@beaconhill.northumberland.sch.uk","bad","invalid","no","yes","77750"
"headmaster@beaconsfield.school","bad","invalid","no","yes","71180"
"headmaster@beaconsfieldhigh.bucks.sch.uk","bad","invalid","no","yes","74478"
"headmaster@bealhighschool.co.uk","bad","invalid","no","yes","74187"
"headmaster@bearbrook.bucks.sch.uk","bad","invalid","no","yes","69696"
"headmaster@bearstedprimaryacademy.org.uk","bad","invalid","no","yes","70185"
"headmaster@beauchamp.org.uk","bad","invalid","no","yes","71394"
"headmaster@beauchampcity.org.uk","bad","invalid","no","yes","70157"
"headmaster@beaucroft.dorset.sch.uk","bad","invalid","no","yes","68806"
"headmaster@beaufort.hants.sch.uk","bad","invalid","no","yes","72037"
"headmaster@beaufront.northumberland.sch.uk","bad","invalid","no","yes","77764"
"headmaster@beaumontprimary.org.uk","bad","invalid","no","yes","79055"
"headmaster@beck.uk.com","bad","invalid","no","yes","59937"
"headmaster@beckfoot.org","bad","invalid","no","yes","73675"
"headmaster@beckfootallerton.org","bad","invalid","no","yes","79324"
"headmaster@beckfootnessfield.org","bad","invalid","no","yes","65978"
"headmaster@beckfootphoenix.org","bad","invalid","no","yes","62787"
"headmaster@beckfootpriestthorpe.org","bad","invalid","no","yes","62786"
"headmaster@beckfootupperheaton.org","bad","invalid","no","yes","77401"
"headmaster@beckmeadtrust.org","bad","invalid","no","yes","63383"
"headmaster@beckprimary.co.uk","bad","invalid","no","yes","78856"
"headmaster@bedeburnprimary.co.uk","bad","invalid","no","yes","63644"
"headmaster@bedenham.hants.sch.uk","bad","invalid","no","yes","58408"
"headmaster@bedes.org","good","ok","no","yes","69144"
"headmaster@bedforddrive.wirral.sch.uk","bad","invalid","no","yes","60081"
"headmaster@bedfordfreeschool.co.uk","bad","invalid","no","yes","68241"
"headmaster@bedfordgreenacre.co.uk","bad","invalid","no","yes","63990"
"headmaster@bedfordps.co.uk","bad","invalid","no","yes","77610"
"headmaster@bedfordroad.school","bad","invalid","no","yes","63887"
"headmaster@bedonwell-jun.bexley.sch.uk","bad","invalid","no","yes","57936"
"headmaster@beechcliffeschool.org","bad","invalid","no","yes","61121"
"headmaster@beechesuk.co.uk","bad","invalid","no","yes","70900"
"headmaster@beechfield-education.com","bad","invalid","no","yes","70379"
"headmaster@beechgrove.somerset.sch.uk","bad","invalid","no","yes","78348"
"headmaster@beechhill.newcastle.sch.uk","bad","invalid","no","yes","59486"
"headmaster@beechwoodprimaryschool.co.uk","bad","invalid","no","yes","62121"
"headmaster@beighton.sheffield.sch.uk","bad","invalid","no","yes","61784"
"headmaster@beisaharonschool.co.uk","bad","invalid","no","yes","58433"
"headmaster@beischinuch.org","bad","invalid","no","yes","62470"
"headmaster@beishatalmud.co.uk","bad","invalid","no","yes","61086"
"headmaster@beismalka.com","bad","invalid","no","yes","55035"
"headmaster@beisrochel.co.uk","bad","invalid","no","yes","69726"
"headmaster@beisruchel.co.uk","bad","invalid","no","yes","56466"
"headmaster@beistranaschool.co.uk","bad","invalid","no","yes","58502"
"headmaster@belfairs.southend.sch.uk","bad","invalid","no","yes","68195"
"headmaster@bellenden.southwark.sch.uk","bad","invalid","no","yes","55335"
"headmaster@bellevale.liverpool.sch.uk","bad","invalid","no","yes","59865"
"headmaster@bellinghampartnership.uk","bad","invalid","no","yes","77817"
"headmaster@belllane.barnetmail.net","bad","invalid","no","yes","55636"
"headmaster@belllane.outwood.com","bad","invalid","no","yes","65680"
"headmaster@bellsfrm.bham.sch.uk","bad","invalid","no","yes","57400"
"headmaster@belmont.harrow.sch.uk","bad","invalid","no","yes","56815"
"headmaster@belmontjnr.haringey.sch.uk","bad","invalid","no","yes","56755"
"headmaster@belonglearning.co.uk","bad","invalid","no","yes","66268"
"headmaster@belsay-school.uk","bad","invalid","no","yes","63556"
"headmaster@beltonprimary.org","bad","invalid","no","yes","75917"
"headmaster@belvedereacademy.net","bad","invalid","no","yes","61088"
"headmaster@belvoiracademy.co.uk","bad","invalid","no","yes","70734"
"headmaster@belzlondon.com","good","ok","no","yes","55034"
"headmaster@bemix.org","bad","invalid","no","yes","62703"
"headmaster@benenden.school","bad","invalid","no","yes","73179"
"headmaster@benjaminbritten.school","bad","invalid","no","yes","79042"
"headmaster@benson.oxon.sch.uk","bad","invalid","no","yes","69913"
"headmaster@bentley.hants.sch.uk","bad","invalid","no","yes","71904"
"headmaster@bentleywood.harrow.sch.uk","bad","invalid","no","yes","65387"
"headmaster@bentondeneschool.co.uk","bad","invalid","no","yes","63627"
"headmaster@bentonpark.net","bad","invalid","no","yes","62208"
"headmaster@beormund.southwark.sch.uk","bad","invalid","no","yes","55398"
"headmaster@bepgroup.net","bad","invalid","no","yes","63040"
"headmaster@berealston.devon.sch.uk","bad","invalid","no","yes","70019"
"headmaster@bereregis.dorset.sch.uk","bad","invalid","no","yes","63502"
"headmaster@berkhamsted.com","bad","invalid","no","yes","72642"
"headmaster@berkswell.solihull.sch.uk","bad","invalid","no","yes","59696"
"headmaster@berrywoodprimary.co.uk","bad","invalid","no","yes","71881"
"headmaster@berwick.northumberland.sch.uk","bad","invalid","no","yes","77819"
"headmaster@bessemergrange.southwark.sch.uk","bad","invalid","no","yes","58320"
"headmaster@bestacademies.org.uk","bad","invalid","no","yes","64980"
"headmaster@bethersden.kent.sch.uk","bad","invalid","no","yes","72963"
"headmaster@bettwslifehouse.org.uk","bad","invalid","no","yes","75271"
"headmaster@beverleyschool.org.uk","bad","invalid","no","yes","66648"
"headmaster@bewleyprimary.org.uk","bad","invalid","no","yes","69856"
"headmaster@bexleyheathacademy.org","bad","invalid","no","yes","65354"
"headmaster@bfcct.co.uk","bad","invalid","no","yes","74837"
"headmaster@bggs.com","bad","invalid","no","yes","73865"
"headmaster@bgp.hslt.academy","bad","invalid","no","yes","79604"
"headmaster@bhs.hslt.academy","bad","invalid","no","yes","62824"
"headmaster@bickleighdown.devon.sch.uk","bad","invalid","no","yes","68669"
"headmaster@bicollege.org","bad","invalid","no","yes","57599"
"headmaster@bidbury-inf.hants.sch.uk","bad","invalid","no","yes","71811"
"headmaster@bidbury-jun.hants.sch.uk","bad","invalid","no","yes","71785"
"headmaster@biddickhallschool.co.uk","bad","invalid","no","yes","63638"
"headmaster@bidstonvillage.wirral.sch.uk","bad","invalid","no","yes","58480"
"headmaster@bigcreative.education","bad","invalid","no","yes","74585"
"headmaster@bigginhillps.com","bad","invalid","no","yes","65445"
"headmaster@biggleswadeacademy.org","bad","invalid","no","yes","68007"
"headmaster@bigs.bham.sch.uk","bad","invalid","no","yes","57482"
"headmaster@billesleyschool.co.uk","bad","invalid","no","yes","70788"
"headmaster@biltt.org","bad","invalid","no","yes","67643"
"headmaster@birchesgreen.co.uk","bad","invalid","no","yes","75035"
"headmaster@birchfieldprimaryschool.co.uk","bad","invalid","no","yes","78356"
"headmaster@birchfld.bham.sch.uk","bad","invalid","no","yes","65797"
"headmaster@birchwood.suffolk.sch.uk","bad","invalid","no","yes","79643"
"headmaster@birkdaleschool.org.uk","good","ok","no","yes","61821"
"headmaster@birkenheadschool.co.uk","good","ok","no","yes","60154"
"headmaster@birkhs.gdst.net","bad","invalid","no","yes","62404"
"headmaster@birklandsschool.co.uk","bad","invalid","no","yes","74262"
"headmaster@bisham.org","bad","invalid","no","yes","59250"
"headmaster@bishoprawle.staffs.sch.uk","bad","invalid","no","yes","62924"
"headmaster@bishopsgarth.outwood.com","bad","invalid","no","yes","79373"
"headmaster@bishopshalt.hillingdon.sch.uk","bad","invalid","no","yes","67762"
