Email,result,datID,EmailDomain,NamingFormat
head@altonschool.co.uk,catch_all,72088,altonschool.co.uk,1
head@alumnismat.org,invalid,63539,alumnismat.org,1
head@alumwelljunior.co.uk,invalid,59716,alumwelljunior.co.uk,1
head@alwyn.org.uk,invalid,64045,alwyn.org.uk,1
head@amberleyprimary.co.uk,invalid,62378,amberleyprimary.co.uk,1
head@ambitoeducation.co.uk,invalid,61372,ambitoeducation.co.uk,1
head@amblefirst.northumberland.sch.uk,invalid,77737,amblefirst.northumberland.sch.uk,1
head@amesburyarcher.wilts.sch.uk,ok,70417,amesburyarcher.wilts.sch.uk,1
head@ampfield.hants.sch.uk,invalid,71895,ampfield.hants.sch.uk,1
head@andaras.org,invalid,59363,andaras.org,1
head@andover-pri.hants.sch.uk,invalid,71896,andover-pri.hants.sch.uk,1
head@anfieldroadprimary.co.uk,ok,74542,anfieldroadprimary.co.uk,1
head@angeloakacademy.org,ok,77100,angeloakacademy.org,1
head@anglesey.bham.sch.uk,invalid,58784,anglesey.bham.sch.uk,1
head@angrambank.sheffield.sch.uk,invalid,61803,angrambank.sheffield.sch.uk,1
head@ankermoor.org,invalid,57660,ankermoor.org,1
head@ankervalley.org,invalid,74746,ankervalley.org,1
head@annbernadt.southwark.sch.uk,invalid,55330,annbernadt.southwark.sch.uk,1
head@anncam.gloucs.sch.uk,ok,77600,anncam.gloucs.sch.uk,1
head@annecy.org.uk,ok,67355,annecy.org.uk,1
head@annedwardsprimary.co.uk,ok,69524,annedwardsprimary.co.uk,1
head@annsgrove.sheffield.sch.uk,catch_all,61804,annsgrove.sheffield.sch.uk,1
head@annunciationinf.barnetmail.net,ok,55684,annunciationinf.barnetmail.net,1
head@annunciationjnr.barnetmail.net,ok,55695,annunciationjnr.barnetmail.net,1
head@ansford.net,invalid,65087,ansford.net,1
head@anson.brent.sch.uk,invalid,55743,anson.brent.sch.uk,1
head@anstonhillcrest.org,invalid,66127,anstonhillcrest.org,1
head@antinghamsouthrepps.co.uk,ok,76743,antinghamsouthrepps.co.uk,1
head@anton-inf.hants.sch.uk,invalid,71718,anton-inf.hants.sch.uk,1
head@aol.com,ok,77729,aol.com,1
head@applegarth.n-yorks.sch.uk,invalid,76360,applegarth.n-yorks.sch.uk,1
head@applegarthacademy.org,ok,71201,applegarthacademy.org,1
head@appletreetc.co.uk,invalid,58993,appletreetc.co.uk,1
head@apsafederation.com,invalid,55130,apsafederation.com,1
head@aptcoo.org,catch_all,65685,aptcoo.org,1
head@ar.starmat.uk,invalid,65734,ar.starmat.uk,1
head@arboretum.derby.sch.uk,ok,66306,arboretum.derby.sch.uk,1
head@archbishopwake.dsat.org.uk,invalid,76597,archbishopwake.dsat.org.uk,1
head@arco.academy,invalid,70084,arco.academy,1
head@argylehouseschool.co.uk,invalid,63698,argylehouseschool.co.uk,1
head@arkacton.org,invalid,66005,arkacton.org,1
head@arkalexandra.org,invalid,71545,arkalexandra.org,1
head@arkallsaintsacademy.org,invalid,71467,arkallsaintsacademy.org,1
head@arkayrtonprimary.org,invalid,71464,arkayrtonprimary.org,1
head@arkbentworthprimary.org,ok,70611,arkbentworthprimary.org,1
head@arkblake.org,invalid,70153,arkblake.org,1
head@arkbolingbrokeacademy.org,invalid,68268,arkbolingbrokeacademy.org,1
head@arkboulton.org,invalid,73704,arkboulton.org,1
head@arkbrunelprimary.org,invalid,71411,arkbrunelprimary.org,1
head@arkbyron.org,invalid,77467,arkbyron.org,1
head@arkconwayprimary.org,invalid,65518,arkconwayprimary.org,1
head@arkdickensprimary.org,ok,74578,arkdickensprimary.org,1
head@arkelvinacademy.org,invalid,74577,arkelvinacademy.org,1
head@arkfranklinprimary.org,invalid,71554,arkfranklinprimary.org,1
head@arkgreenwich.org,invalid,68251,arkgreenwich.org,1
head@arkholme.lancs.sch.uk,ok,75599,arkholme.lancs.sch.uk,1
head@arkjohnarcher.org,invalid,65914,arkjohnarcher.org,1
head@arkjohnkeatsacademy.org,invalid,71540,arkjohnkeatsacademy.org,1
head@arkkingsacademy.org,invalid,67721,arkkingsacademy.org,1
head@arklittleridgeprimary.org,invalid,74580,arklittleridgeprimary.org,1
head@arkovalprimary.org,ok,65332,arkovalprimary.org,1
head@arkpioneer.org,invalid,67547,arkpioneer.org,1
head@arkprioryprimary.org,invalid,71453,arkprioryprimary.org,1
head@arkputneyacademy.org,invalid,70612,arkputneyacademy.org,1
head@arksoane.org,invalid,70182,arksoane.org,1
head@arkstalbans.org,invalid,62448,arkstalbans.org,1
head@arkswiftprimary.org,invalid,71544,arkswiftprimary.org,1
head@arkvictoria.org,invalid,77171,arkvictoria.org,1
head@armfield.fcat.org.uk,catch_all,65625,armfield.fcat.org.uk,1
head@armitage.manchester.sch.uk,ok,60345,armitage.manchester.sch.uk,1
head@arnesby.embracemat.org,invalid,66233,arnesby.embracemat.org,1
head@arnhemwharf.towerhamlets.sch.uk,ok,56486,arnhemwharf.towerhamlets.sch.uk,1
head@arnoldhouse.co.uk,invalid,55576,arnoldhouse.co.uk,1
head@arnovale.notts.sch.uk,ok,77859,arnovale.notts.sch.uk,1
head@arthurmellows.org,invalid,64610,arthurmellows.org,1
head@arts.ac.uk,invalid,60675,arts.ac.uk,1
head@arundelcourt.com,invalid,59200,arundelcourt.com,1
head@arunside.school,ok,56107,arunside.school,1
head@asa.hslt.academy,invalid,61284,asa.hslt.academy,1
head@asap.org.uk,invalid,62538,asap.org.uk,1
head@ascotroadcfs.org.uk,invalid,74527,ascotroadcfs.org.uk,1
head@ashbeach.cambs.sch.uk,ok,64510,ashbeach.cambs.sch.uk,1
head@ashbournecollege.co.uk,invalid,55182,ashbournecollege.co.uk,1
head@ashbourneprimary.derbyshire.sch.uk,invalid,67089,ashbourneprimary.derbyshire.sch.uk,1
head@ashbrookschool.net,invalid,69807,ashbrookschool.net,1
head@ashburymeadow.manchester.sch.uk,ok,59124,ashburymeadow.manchester.sch.uk,1
head@ashbyce.leics.sch.uk,ok,75949,ashbyce.leics.sch.uk,1
head@ashbyhilltop.leics.sch.uk,invalid,70719,ashbyhilltop.leics.sch.uk,1
head@ashbyschool.org.uk,invalid,74755,ashbyschool.org.uk,1
head@ashcroft.theharmonytrust.org,invalid,63580,ashcroft.theharmonytrust.org,1
head@ashfield.leicester.sch.uk,invalid,68135,ashfield.leicester.sch.uk,1
head@ashfieldinf.cumbria.sch.uk,ok,66752,ashfieldinf.cumbria.sch.uk,1
head@ashfordhill.hants.sch.uk,ok,75452,ashfordhill.hants.sch.uk,1
head@ashford-primary.surrey.sch.uk,ok,54824,ashford-primary.surrey.sch.uk,1
head@ashgreenprimary.co.uk,invalid,79237,ashgreenprimary.co.uk,1
head@ashgrove.cheshire.sch.uk,ok,74075,ashgrove.cheshire.sch.uk,1
head@ashhillacademy.org.uk,invalid,65290,ashhillacademy.org.uk,1
head@ashlands.school,invalid,61865,ashlands.school,1
head@ashmead.lewisham.sch.uk,invalid,55294,ashmead.lewisham.sch.uk,1
head@ashmoleacademy.org,invalid,64648,ashmoleacademy.org,1
head@ashmoleprimaryschool.org.uk,invalid,55198,ashmoleprimaryschool.org.uk,1
head@ashprimaryschool.co.uk,ok,78400,ashprimaryschool.co.uk,1
head@ashtonkeynes.wilts.sch.uk,invalid,56317,ashtonkeynes.wilts.sch.uk,1
head@ashwood.dudley.sch.uk,catch_all,57578,ashwood.dudley.sch.uk,1
head@ashwoodprimary.org,invalid,74394,ashwoodprimary.org,1
head@ashwoodspencer.co.uk,ok,65801,ashwoodspencer.co.uk,1
head@askam.cumbria.sch.uk,ok,66924,askam.cumbria.sch.uk,1
head@askham-bryan.ac.uk,invalid,58165,askham-bryan.ac.uk,1
head@asna.walsall.sch.uk,invalid,76901,asna.walsall.sch.uk,1
head@asp.hslt.academy,invalid,74592,asp.hslt.academy,1
head@aspirationhouse.co.uk,invalid,70433,aspirationhouse.co.uk,1
head@aspireap.org.uk,invalid,57745,aspireap.org.uk,1
head@aspire-kent.org.uk,invalid,73011,aspire-kent.org.uk,1
head@aspleyguise.school,ok,63869,aspleyguise.school,1
head@assr.e-sussex.sch.uk,ok,69089,assr.e-sussex.sch.uk,1
head@astonfence.org,invalid,61746,astonfence.org,1
head@aston-rowant.oxon.sch.uk,invalid,78075,aston-rowant.oxon.sch.uk,1
head@astreaatlas.org,invalid,62841,astreaatlas.org,1
head@astreacastle.org,invalid,59452,astreacastle.org,1
head@astreadearne.org,invalid,66156,astreadearne.org,1
head@astreadenabymain.org,invalid,57690,astreadenabymain.org,1
head@astreaedenthorpehall.org,invalid,79181,astreaedenthorpehall.org,1
head@astreaernulf.org,ok,66038,astreaernulf.org,1
head@astreahartleybrook.org,invalid,59451,astreahartleybrook.org,1
head@astreahatfield.org,invalid,59450,astreahatfield.org,1
head@astreahexthorpe.org,ok,79416,astreahexthorpe.org,1
head@astrea-longsands.org,ok,65222,astrea-longsands.org,1
head@astrealowermeadow.org,invalid,79184,astrealowermeadow.org,1
head@astreanetherwood.org,invalid,57975,astreanetherwood.org,1
head@astreasheffield.org,invalid,65626,astreasheffield.org,1
head@astreastivo.org,invalid,65498,astreastivo.org,1
head@astrum-mat.org,invalid,62772,astrum-mat.org,1
head@atamacademy.com,invalid,79153,atamacademy.com,1
head@atelier21schools.co.uk,catch_all,70223,atelier21schools.co.uk,1
head@ateresby.co.uk,invalid,74838,ateresby.co.uk,1
head@athelney.lewisham.sch.uk,invalid,55258,athelney.lewisham.sch.uk,1
head@athelstan.sheffield.sch.uk,invalid,61802,athelstan.sheffield.sch.uk,1
head@athelstaneford.elcschool.org.uk,invalid,81604,athelstaneford.elcschool.org.uk,1
head@atkinson.house,invalid,58887,atkinson.house,1
head@atlantic-aspirations.org,invalid,62983,atlantic-aspirations.org,1
head@ats.lambeth.sch.uk,invalid,65621,ats.lambeth.sch.uk,1
head@attrust.org.uk,invalid,59466,attrust.org.uk,1
head@aub.ac.uk,invalid,59139,aub.ac.uk,1
head@aucklandcollege.com,invalid,58798,aucklandcollege.com,1
head@audenshawschool.org.uk,invalid,64617,audenshawschool.org.uk,1
head@audley.drbignitemat.org,ok,57615,audley.drbignitemat.org,1
head@aug.magnificat.org.uk,ok,75361,aug.magnificat.org.uk,1
head@aughtoneyc.org,invalid,61738,aughtoneyc.org,1
head@auroraacademies.org,invalid,70175,auroraacademies.org,1
head@autismable.com,invalid,70317,autismable.com,1
head@autism-anglia.org.uk,invalid,69409,autism-anglia.org.uk,1
head@avenuecentre.co.uk,ok,60852,avenuecentre.co.uk,1
head@avenuepreprep.co.uk,invalid,60933,avenuepreprep.co.uk,1
head@avocetacademy.org,invalid,66149,avocetacademy.org,1
head@avonbourneacademy.org.uk,invalid,69881,avonbourneacademy.org.uk,1
head@avonmoreprimary.co.uk,ok,55049,avonmoreprimary.co.uk,1
head@avonvalleyacademy.org.uk,invalid,79251,avonvalleyacademy.org.uk,1
head@avpa.school,invalid,67548,avpa.school,1
head@axbridgefirstschool.co.uk,invalid,70688,axbridgefirstschool.co.uk,1
head@axi.rbksch.org,ok,56989,axi.rbksch.org,1
head@ayeshasiddiqa.org.uk,invalid,61083,ayeshasiddiqa.org.uk,1
head@aylesbury.ac.uk,invalid,58171,aylesbury.ac.uk,1
head@aylwardacademy.org,invalid,62542,aylwardacademy.org,1
head@aysgarthschool.co.uk,invalid,76577,aysgarthschool.co.uk,1
head@babington.leicester.sch.uk,invalid,79463,babington.leicester.sch.uk,1
head@babraham.cambs.sch.uk,ok,57618,babraham.cambs.sch.uk,1
head@baca-uk.org.uk,invalid,62550,baca-uk.org.uk,1
head@backwellfederation.co.uk,catch_all,63101,backwellfederation.co.uk,1
head@bacoll.ac.uk,invalid,58197,bacoll.ac.uk,1
head@bacup-st-saviours.lancs.sch.uk,ok,73344,bacup-st-saviours.lancs.sch.uk,1
head@bad.kent.sch.uk,invalid,73100,bad.kent.sch.uk,1
head@badburyparkprimary.co.uk,ok,67551,badburyparkprimary.co.uk,1
head@badgerhill.pmat.academy,ok,79110,badgerhill.pmat.academy,1
head@badmintonschool.co.uk,ok,63830,badmintonschool.co.uk,1
